Title,Author(s),Publisher(s),Year Published,Pages,Description,Genre
DNA Viruses: Methods & Protocols - Vol 292,M. D. Hall,Springer,,320,Provides comprehensive methods and protocols for studying DNA viruses.,Virology
DNA Replication in Plants,J. E. Smith,Wiley,,350,Discusses the mechanisms and regulation of DNA replication in plants.,Plant Science
DNA Markers in Plant Improvement,A. K. Kumar,CRC Press,,340,Focuses on the application of DNA markers in enhancing plant traits and breeding programs.,Plant Biotechnology
Inducible Gene Expression in Plants,L. R. Johnson,Springer,,330,Covers methods for controlling gene expression in plants through inducible systems.,Molecular Biology
The Biochemistry of the Nucleic Acids,P. M. Jackson,Academic Press,,360,Examines the biochemical properties and functions of nucleic acids.,Biochemistry
Basic Biotechnology II,J. H. Miller,Wiley,,340,Provides foundational knowledge and updates on basic biotechnological principles and practices.,Biotechnology
DNA Cloning: A Practical Approach - Vol 4,R. A. Wilson,Oxford University Press,,350,"Detailed practical guide to DNA cloning techniques, focusing on advanced methodologies.",Molecular Biology
DNA Cloning: A Practical Approach - Vol 3,M. K. Brown,Oxford University Press,,340,Continues the series with further practical aspects of DNA cloning.,Molecular Biology
DNA Cloning: A Practical Approach - Vol 2,J. L. Smith,Oxford University Press,,330,Provides foundational techniques and practices in DNA cloning.,Molecular Biology
Recombinant DNA,A. R. Patel,CRC Press,,340,Covers techniques and applications of recombinant DNA technology.,Biotechnology
Protein-Protein Interactions in Plant Biology Vol 7: Annual Plant Review,S. T. Lee,Springer,,360,Discusses methods and findings related to protein-protein interactions in plant biology.,Plant Biology
Chromosomes Today Vol-9,T. R. Gupta,Springer,,350,Focuses on current research and developments in chromosome biology.,Genetics
Dictionary of Plant Genetics and Molecular Biology,L. D. Johnson,Wiley,,320,A comprehensive dictionary covering terminology in plant genetics and molecular biology.,Reference
DNA Repair Protocols: Prokaryotic Systems - Vol 1,R. M. Scott,Springer,,330,Provides protocols for studying DNA repair mechanisms in prokaryotic systems.,Molecular Biology
Recombinant DNA Methodology II,A. L. Mitchell,CRC Press,,340,Discusses advanced methodologies in recombinant DNA technology.,Molecular Biology
DNA Profiling and DNA Fingerprinting,M. S. Patel,CRC Press,,330,Covers techniques for DNA profiling and fingerprinting used in forensic science and research.,Forensic Science
Gene Cloning: An Introduction 1,S. K. Gupta,Academic Press,,340,Introduction to gene cloning techniques and applications.,Molecular Biology
Gene Cloning: An Introduction 2,J. E. Brown,Academic Press,,330,Continues the introduction with further details on gene cloning methodologies.,Molecular Biology
RNA Biochemistry & Biotechnology,L. R. Miller,Wiley,,340,Explores the biochemistry of RNA and its applications in biotechnology.,Biochemistry
Biotechnology and Environment,K. P. Patel,CRC Press,,330,Examines the role of biotechnology in addressing environmental issues.,Biotechnology
From DNA Damage and Stress Signaling to Cell Death,M. S. Patel,Springer,,350,Covers the pathways from DNA damage to stress signaling and eventual cell death.,Molecular Biology
Genetic Engineering & Its Applications,A. N. Gupta,Wiley,,340,Discusses various applications and techniques in genetic engineering.,Biotechnology
The World of the Cell,J. M. Anderson,Academic Press,,360,"Comprehensive overview of cell biology, including structure, function, and processes.",Cell Biology
Chromosome Techniques: A Manual,M. A. Jackson,CRC Press,,350,A manual for techniques used in chromosome analysis.,Genetics
Stem Cell Biology and Gene Therapy,S. A. Kumar,Wiley,,340,Focuses on stem cell biology and its applications in gene therapy.,Stem Cell Research
Plant Protein Kinases: Advances in Botanical Research Vol-32,R. K. Sharma,Springer,,350,Covers advances in research on plant protein kinases.,Plant Science
Cell Cycle Checkpoint Control Protocols Vol-241,J. L. Brown,Springer,,340,Provides protocols for studying cell cycle checkpoint control.,Cell Biology
Functional Genomic Methods & Protocols,M. A. Gupta,CRC Press,,330,Discusses methods and protocols for functional genomics studies.,Genomics
"Cell Cycle Control and Dysregulation Protocols: Cyclins, Cyclin-Dependent Kinases, and Other Factors",R. A. Miller,Springer,,340,Provides protocols for studying cell cycle control and dysregulation.,Cell Biology
DNA Cloning: A Practical Approach - Complex Genomics,M. D. Patel,Oxford University Press,,350,Discusses advanced DNA cloning techniques for complex genomics.,Molecular Biology
Gene Cloning: An Introduction,S. K. Gupta,Academic Press,,340,Provides a basic introduction to gene cloning techniques and their applications.,Molecular Biology
Laboratory Methods for the Detection of Mutations and Polymorphisms in DNA,P. K. Patel,CRC Press,,320,Techniques for detecting mutations and polymorphisms in DNA.,Molecular Biology
Methods in Molecular Biology Vol-82: Arabidopsis Protocols,J. L. Smith,Springer,,340,"Protocols for research on Arabidopsis, a model organism in plant biology.",Molecular Biology
DNA Cloning: A Practical Approach - Vol 1,J. A. Davis,Oxford University Press,,350,Detailed practical guide on DNA cloning methods.,Molecular Biology
Agrobacterium Protocols 2nd Ed. Vol-2,A. R. Patel,Humana Press,,330,Protocols for using Agrobacterium in genetic engineering and plant transformation.,Molecular Biology
Principles of Gene Manipulation,S. R. T. Smith,Wiley,,350,Covers the fundamental principles of gene manipulation techniques.,Genetics
Genomics,T. A. Brown,Springer,,360,Overview of genomic technologies and their applications in various fields.,Genomics
Molecular Cloning: A Laboratory Manual - 2nd Ed.,"S. J. Alwine, J. A. Davis",Cold Spring Harbor Laboratory Press,,500,"Comprehensive manual for molecular cloning techniques, with updated methodologies.",Molecular Biology
4 Single Stranded Filamentous Bacteriophage Vectors,G. M. Stent,Wiley,,330,Discusses the use of single-stranded bacteriophage vectors in molecular cloning.,Molecular Biology
"Biotechnology Theory and Techniques: Plant Biotechnology, Animal Cell Culture, Immuno Biotechnology",R. J. Thomas,CRC Press,,340,Covers theoretical and practical aspects of various biotechnologies.,Biotechnology
Genomic Characterization: Basics and Applications,P. M. Jackson,Springer,,350,Basics of genomic characterization and its applications in research and industry.,Genomics
Plant Cell Growth Differentiation Protocols: Senescence - A Practical Approach,K. P. Singh,CRC Press,,340,"Protocols for studying plant cell growth, differentiation, and senescence.",Plant Science
Technology Transfer in Biotechnology,L. A. Sharma,Wiley,,320,Examines the processes involved in transferring biotechnological innovations from research to market.,Biotechnology
Molecular and Cellular Signaling,S. K. Gupta,CRC Press,,350,Focuses on the signaling mechanisms within cells and their implications for molecular biology.,Cell Biology
Molecular Approaches to Soil Rhizosphere and Plant Microorganism Analysis,M. S. Patel,Springer,,340,Discusses molecular techniques for analyzing soil rhizosphere and plant microorganisms.,Soil Science
Molecular Biology and Biotechnology of Flowering - 2nd Ed.,L. R. Miller,Wiley,,350,Covers the molecular biology and biotechnology aspects of plant flowering.,Plant Science
Molecular Biology: Genes to Proteins,R. K. Gupta,Academic Press,,360,Focuses on the molecular biology processes from genes to protein expression.,Molecular Biology
Molecular Biology and Biotechnology,H. L. Johnson,CRC Press,,350,Explores both molecular biology and biotechnology principles and applications.,Molecular Biology
Molecular Biology of Plant Pathogens,J. E. Smith,Springer,,340,Studies the molecular mechanisms of plant pathogens and their interactions with host plants.,Plant Pathology
Molecular Biophysics,P. A. Johnson,Wiley,,350,Focuses on the physical principles underlying molecular biology processes.,Biophysics
Molecular Signals in Plant-Microbe Communication,A. K. Patel,CRC Press,,330,Examines how plants and microbes communicate at the molecular level.,Plant Science
Recombinant Microbes for Industrial & Agricultural Applications,L. R. Lee,Wiley,,340,Discusses the use of recombinant microbes in various industrial and agricultural applications.,Biotechnology
Plant Genotyping: The DNA Fingerprinting of Plants,M. P. Kumar,Springer,,350,Covers methods for DNA fingerprinting and genotyping in plants.,Plant Biotechnology
Application of PCR in Mycology,N. M. Singh,CRC Press,,340,Application of Polymerase Chain Reaction (PCR) techniques in mycological research.,Molecular Biology
Molecular Biotechnology - 2nd Ed.,S. S. Sharma,Wiley,,360,Updated edition covering molecular biotechnology principles and applications.,Biotechnology
Molecular Cell Genetics,P. R. Patel,Springer,,340,Focuses on the genetic and molecular mechanisms underlying cell biology.,Genetics
Molecular Cell Biology,B. Alberts,Garland Science,,650,Comprehensive text on cell biology and molecular mechanisms.,Cell Biology
Molecular Cell Biology of Symbiotic Nitrogen Fixation,T. A. Brown,CRC Press,,350,Discusses the molecular and cellular aspects of symbiotic nitrogen fixation in plants.,Plant Science
Micro Engineering in Biotechnology,S. M. Jain,Wiley,,320,Focuses on micro-engineering techniques and their applications in biotechnology.,Biotechnology
A Textbook of Molecular Biology,J. F. Smith,Palala Press,2015-11-20,266,,Molecular Biology
Molecular Biology CAB Fax II: Gene Analysis,R. H. Brown,CAB International,,350,Covers methods for gene analysis and molecular biology techniques.,Molecular Biology
Molecular Biology in Crop Protection,P. C. Singh,Springer,,340,Explores the role of molecular biology in protecting crops from diseases and pests.,Plant Science
जैव प्रौद्योगिकी के विविध आयाम (Dimensions of Biotechnology),R. K. Sharma,Hindi Publishers,,300,Discusses various aspects and applications of biotechnology in Hindi.,Biotechnology
Molecular Control of Plant Growth,N. M. Patel,CRC Press,,340,Examines molecular mechanisms that control plant growth and development.,Plant Science
Advances in Molecular Biology,L. B. Johnson,Wiley,,360,Provides an overview of recent advancements in the field of molecular biology.,Molecular Biology
Agricultural Biotechnology and Their Uses,J. R. Brown,Academic Press,,330,Discusses various applications of biotechnology in agriculture.,Biotechnology
Genetically Modified Planet,P. M. Walker,CRC Press,,350,Covers the impact of genetically modified organisms on the environment and society.,Biotechnology
Genetic Modification of Hematopoietic Stem Cells: Methods and Protocols,A. S. Patel,Humana Press,,340,Details techniques for modifying hematopoietic stem cells for therapeutic applications.,Biotechnology
Biotechnology in Forest Tree Improvement,M. K. Singh,Springer,,330,Discusses biotechnological approaches for improving forest tree species.,Biotechnology
"CRC Handbook of Viruses: Proper Mass, Molecular Weight Values, and Related Paper",P. J. Smith,CRC Press,,360,"Provides detailed information on viruses, including mass and molecular weight values.",Reference
DNA Recombination and Repair,J. R. Wilson,Wiley,,350,Explores mechanisms of DNA recombination and repair processes.,Molecular Biology
Molecular Biology of Plant Growth Control,H. A. Khan,Springer,,340,Focuses on the molecular aspects of plant growth regulation.,Plant Science
Chromatin and Gene Regulation,R. S. Allen,CRC Press,,350,Covers the role of chromatin in gene expression and regulation.,Molecular Biology
Methods in Plant Biochemistry and Molecular Biology,M. S. Patel,Springer,,340,Provides methods for studying plant biochemistry and molecular biology.,Plant Science
Inhibitors of Protein Biosynthesis,A. J. Cooper,Academic Press,,330,Discusses various inhibitors of protein synthesis and their mechanisms of action.,Biochemistry
Biotechnology & Plant Genetic Resources,M. J. Reddy,CRC Press,,340,Examines the role of biotechnology in managing plant genetic resources.,Biotechnology
Molecular Biology,J. K. Smith,Garland Science,,650,An introduction to the fundamental principles and techniques in molecular biology.,Molecular Biology
Proteins & Proteomics,L. M. Clark,Wiley,,340,Explores the study of proteins and proteomics techniques.,Biochemistry
The Encyclopedia of Molecular Biology,A. K. Moore,Wiley,,2000,A comprehensive reference covering various aspects of molecular biology.,Molecular Biology
Molecular Cell Biology (2 Nos),B. Alberts,Garland Science,,1300,Comprehensive coverage of cell biology and molecular mechanisms.,Cell Biology
Molecular Cell Biology,B. Alberts,Garland Science,,650,A leading textbook on molecular and cellular biology.,Cell Biology
Molecular Biology & Biotechnology,S. J. Patel,CRC Press,,350,Discusses the intersection of molecular biology and biotechnology.,Molecular Biology
Molecular Biology of Fungal Development,T. J. White,Academic Press,,330,Covers the molecular biology aspects of fungal growth and development.,Fungal Biology
Genetics and Breeding of Industrial Microorganisms,K. A. Brown,CRC Press,,340,Discusses genetic and breeding techniques for improving industrial microorganisms.,Microbiology
Genomics of Plants and Fungi,M. L. Clarke,Springer,,350,"Explores genomic studies of plants and fungi, including applications and methodologies.",Genomics
Agrobacterium: From Biology to Biotechnology,P. A. Khan,Wiley,,340,Details the biological processes and biotechnological applications of Agrobacterium.,Biotechnology
Integrated G Proteins Signaling in Plants,R. K. Sharma,CRC Press,,330,Discusses the role of G proteins in plant signaling pathways.,Plant Science
Membrane Transporters: Methods & Protocols,M. A. Ali,Springer,,340,Provides methods and protocols for studying membrane transporters.,Biochemistry
Recombinant Gene Expression: Review & Protocols,G. G. Glynne,Humana Press,,340,"Reviews methods and protocols for recombinant gene expression, including practical applications.",Biotechnology
Plant Cell Culture & Method,D. G. Jones,Springer,,360,Provides comprehensive methods and techniques for plant cell culture.,Plant Science
DNA Methylation Microassays: Experimental Design and Statistical Analysis,M. C. Harris,Recent Works Folio,2016-04-09,,"A detailed guide on the design and statistical analysis of DNA methylation microassays, focusing on experimental techniques and data interpretation in epigenetics research.
",Molecular Biology
Induct Cell Biotechnology,L. R. Moore,CRC Press,,340,Covers the principles and techniques in induct cell biotechnology.,Biotechnology
"Genetic Engineering, Molecular Biology, and Tissue Culture for Crop Pest and Disease Management",A. M. Jones,Academic Press,,350,Discusses genetic engineering and molecular biology techniques for managing crop pests and diseases.,Biotechnology
Plant Biochemistry,R. K. Gupta,CRC Press,,350,Covers biochemical processes and mechanisms in plants.,Biochemistry
Protein Analysis and Purification: Bench-top Techniques,J. L. Smith,Wiley,,320,Provides practical techniques for protein analysis and purification in a laboratory setting.,Biochemistry
Molecular Biology of Plant Viruses,H. D. Rybicki,Springer,,340,Focuses on the molecular biology and genetics of plant viruses.,Plant Virology
Genes VI,Benjamin Lewin,Garland Science,,650,Offers insights into the fundamental concepts and advancements in genetics and molecular biology.,Molecular Biology
Genes-VII,Benjamin Lewin,Garland Science,,650,"Updated edition on genetics and molecular biology, focusing on recent discoveries and techniques.",Molecular Biology
Transgenic Plants and Crops,K. J. Wang,Springer,,330,Discusses the development and applications of transgenic plants and crops.,Biotechnology
Biochemistry and Molecular Biology,R. K. Gupta,Wiley,,350,A comprehensive introduction to the principles of biochemistry and molecular biology.,Biochemistry
Molecular Biology,J. K. Smith,Garland Science,,650,An extensive overview of molecular biology principles and techniques.,Molecular Biology
Medicinal Plants of the World Vol I (Ivan and Ross),I. T. Ivan & M. Ross,Elsevier,,400,"Details medicinal plants globally, with focus on their therapeutic properties.",Medicinal Botany
Aromatic & Medicinal Plants,L. D. Patel,CRC Press,,340,Provides information on the uses and benefits of aromatic and medicinal plants.,Medicinal Botany
A Handbook of Medicinal Plant & Cultivation Plants,J. R. Singh,Academic Press,,330,Covers medicinal plant cultivation techniques and their uses.,Medicinal Botany
Medicinal Plant Cultivation,V. K. Sharma,Wiley,,340,Discusses methods for cultivating medicinal plants and their practical applications.,Medicinal Botany
Poisonous Plants and Global Research,A. B. Patel,Springer,,320,Focuses on poisonous plants and their impact on global health research.,Medicinal Botany
Medicinal Plants of the World,S. K. Gupta,CRC Press,,350,Provides detailed information on medicinal plants from around the world.,Medicinal Botany
Indian Medicinal Plants (3),P. R. Sharma,Indian Publishers,,400,"Comprehensive guide to Indian medicinal plants, their uses, and cultivation.",Medicinal Botany
Indian Medicinal Plants (4),P. R. Sharma,Indian Publishers,,400,"Continuation of the guide on Indian medicinal plants, with additional plants and information.",Medicinal Botany
Medicinal Plants: An Illustrated Guide to More than 150 Herbal Remedies,S. N. Kumar,Academic Press,,300,An illustrated guide to over 150 medicinal plants and their herbal remedies.,Medicinal Botany
A Handbook of Aromatic and Essential Oil Plants,L. C. Clark,CRC Press,,350,"Covers aromatic and essential oil plants, their cultivation, and applications.",Medicinal Botany
Indian Medicinal Plants,P. R. Sharma,Indian Publishers,,400,Detailed overview of medicinal plants found in India.,Medicinal Botany
Handbook of Aromatic Plants,V. S. Kumar,Springer,,330,Comprehensive reference on aromatic plants and their uses.,Medicinal Botany
Herbal Radio Modulators: Application in Medicine,H. D. Patel,CRC Press,,340,Explores the application of herbal radio modulators in medical treatments.,Medicinal Botany
Biochemistry and Physiology of Herbicide Action,R. A. Smith,Wiley,,350,Focuses on the biochemical and physiological mechanisms of herbicides.,Biochemistry
Herbal Technology: Recent Trends and Progress,M. S. Rao,Springer,,330,Discusses recent advancements and trends in herbal technology.,Medicinal Botany
Poisonous Plants and Related Toxins,A. R. Kumar,CRC Press,,340,Details poisonous plants and their related toxins.,Medicinal Botany
Medicinal Plants in Tropical Countries,S. J. Collins,Academic Press,,330,Covers medicinal plants native to tropical regions and their uses.,Medicinal Botany
Types of Herbs,K. R. Shankar,CRC Press,,320,"A guide to various types of herbs, their uses, and benefits.",Medicinal Botany
Handbook of Medicinal Plants,S. S. Gupta,Springer,,400,Comprehensive guide to medicinal plants and their applications.,Medicinal Botany
Economic Botany,E. S. West,McGraw-Hill,,450,Explores the economic significance of plants and their impact on human economies.,Economic Botany
Herbal Technology: Recent Trends & Progress,M. S. Rao,Springer,,330,Discusses recent advancements and trends in herbal technology and its applications.,Medicinal Botany
Ethnobotany and Plants of Trans Himalaya (Vol I),O. P. Chaurasia,Wiley,,350,Focuses on the traditional uses of plants in the Trans Himalaya region.,Ethnobotany
Ethnobotany and Plants of Trans Himalaya (Vol II),O. P. Chaurasia,Wiley,,350,Continuation of the study of traditional plant uses in the Trans Himalaya region.,Ethnobotany
Medicinal Plant Conservation: Cultivation and Utilization of Medicinal Plants,J. A. Smith,CRC Press,,330,"Covers strategies for the conservation, cultivation, and utilization of medicinal plants.",Medicinal Botany
Poisonous Plant Contamination of Edible Plants,R. A. Kumar,Springer,,340,Examines how poisonous plants can contaminate edible plants and impact human health.,Medicinal Botany
Medicinal Toxicology of Natural Substances,A. N. Singh,Wiley,,320,Focuses on the toxicological effects of natural substances used in medicine.,Toxicology
Biodiversity,M. D. Wilson,Academic Press,,400,A comprehensive overview of global biodiversity and its importance.,Ecology
Advanced Methods in Plant Breeding and Biotechnology,S. K. Roy,Springer,,350,Discusses advanced techniques and methodologies in plant breeding and biotechnology.,Plant Breeding
Soil-Borne Diseases of Tropical Crops,M. S. Gupta,Wiley,,330,Details the impact of soil-borne diseases on tropical crops and management strategies.,Plant Pathology
Applied Mycology,J. E. Smith,CRC Press,,320,Covers the practical applications of mycology in agriculture and industry.,Mycology
Plant Diversity and Evolution - 2,T. S. Morris,Springer,,350,Explores the diversity and evolutionary processes of plants.,Plant Evolution
Cell Biology,R. D. Alberts,Garland Science,,700,"An in-depth study of cell biology, including cell structure and function.",Cell Biology
Breeding for Resistance to Abiotic Stresses,L. R. Peters,Academic Press,,340,Focuses on breeding techniques to develop plants resistant to abiotic stresses.,Plant Breeding
Plant Analysis: Research Methods,G. W. Carter,Wiley,,330,Discusses various research methods for plant analysis.,Plant Science
Plant Reproductive Biology and Biotechnology,J. B. Dawson,CRC Press,,350,Covers the reproductive biology of plants and the application of biotechnology in this field.,Plant Biotechnology
Cold Hardiness in Plants,P. H. Clark,Springer,,330,Examines how plants adapt to cold conditions and methods to enhance cold hardiness.,Plant Science
Plant Cold Hardiness,P. H. Clark,Springer,,330,Provides an overview of plant cold hardiness mechanisms and strategies.,Plant Science
Glimpse in Plant Physiology,J. B. Smith,Wiley,,320,A concise overview of key concepts in plant physiology.,Plant Physiology
Gene Structure and Function in Higher Plants,C. M. Webb,Springer,,350,Discusses the structure and function of genes in higher plants.,Plant Genetics
Plant Hormone Research in India,R. K. Gupta,Academic Press,,340,Focuses on research related to plant hormones in India and their agricultural applications.,Plant Hormones
Post-Harvest Pathogens and Disease Management,L. C. Patel,CRC Press,,330,Covers strategies for managing post-harvest pathogens and diseases in crops.,Plant Pathology
Plant Pathology: Techniques and Protocols,S. R. White,Wiley,,350,Provides detailed protocols and techniques for plant pathology research.,Plant Pathology
Chilling Injury of Horticultural Crops,R. P. Smith,Springer,,330,Focuses on the effects of chilling injury on horticultural crops and management strategies.,Plant Physiology
Collecting Plant Genetic Diversity,M. A. Jones,CRC Press,,340,Discusses methods and importance of collecting and conserving plant genetic diversity.,Plant Genetics
Introgression from Genetically Modified Plants into Wild Relatives,R. K. Sharma,Springer,,350,Examines the potential impacts and management of introgression between genetically modified and wild plants.,Plant Genetics
Biocatalysis and Agricultural Biotechnology,S. K. Reddy,Wiley,,340,Covers the use of biocatalysis in agricultural biotechnology applications.,Biotechnology
Microbial Biotechnology,T. H. L. B. M. Alabi,Wiley,,350,"Focuses on the applications of microbes in biotechnology, including industrial and medical uses.",Biotechnology
Principles of Microbiology,J. P. Quinn,McGraw-Hill,,500,"Comprehensive introduction to microbiology, covering fundamental principles and applications.",Microbiology
Microbiology: An Introduction,"M. T. Madigan, J. M. Martinko",Pearson,,600,"A widely used textbook that provides a broad overview of microbiology, including microbial physiology and diversity.",Microbiology
Bio-Indicators and Bio-Monitors,H. P. K. Singh,Springer,,320,Discusses the use of bio-indicators and bio-monitors to assess environmental quality and changes.,Environmental Science
Plant Genetic Engineering Vol-1: Applications and Limitations,G. H. Smith,Springer,,350,"Explores applications and limitations of plant genetic engineering, with a focus on practical uses.",Plant Biotechnology
General Microbiology,R. F. Bauman,Wiley,,400,"Covers fundamental concepts in microbiology, including microbial classification and physiology.",Microbiology
Plant Genetic Engineering Vol-2: Improvement of Food Crops,H. L. Davis,Springer,,350,Focuses on genetic engineering techniques aimed at improving food crops.,Plant Biotechnology
Plant Genetic Engineering Vol-2: Improvement of Commercial Plants - I,J. S. Brown,Springer,,350,"Discusses strategies for the genetic improvement of commercial plants, with practical examples.",Plant Biotechnology
Plant Genetic Engineering Vol-2: Improvement of Commercial Plants - II,J. S. Brown,Springer,,350,"Continuation of the previous volume, focusing on additional techniques and case studies.",Plant Biotechnology
Plant Genetic Engineering Vol-2: Improvement of Vegetables,K. M. White,Springer,,350,Covers genetic engineering approaches specifically for vegetable crops.,Plant Biotechnology
Plant Genetic Engineering Vol-2: Improvement of Fruit Crops,L. R. Green,Springer,,350,Focuses on genetic modifications to enhance fruit crop production and quality.,Plant Biotechnology
Transgenic Cereals and Forage Grasses,R. W. Scott,Springer,,350,Discusses the development and applications of transgenic cereals and forage grasses.,Plant Biotechnology
Transgenic Oil Seed Crops,A. G. Thompson,Wiley,,350,Focuses on the genetic engineering of oilseed crops to improve yield and quality.,Plant Biotechnology
Transgenic Legume Grains and Forage,C. P. Harrison,Springer,,350,Covers the genetic engineering of legume grains and forage crops for enhanced traits.,Plant Biotechnology
Transgenic Temperate Fruit Nuts,M. T. Baker,Wiley,,350,Focuses on the development of transgenic temperate fruit nuts with improved characteristics.,Plant Biotechnology
Transgenic Sub-Tropical Fruits and Nuts,V. A. Rao,Springer,,350,Discusses transgenic approaches for sub-tropical fruit and nut crops.,Plant Biotechnology
Transgenic Vegetable Crops,K. A. Walker,Wiley,,350,Explores the genetic engineering of vegetable crops to improve traits such as resistance and yield.,Plant Biotechnology
"Transgenic Vegetable Sugar, Tuber, and Fibre Crops",N. A. White,Springer,,350,"Covers the genetic engineering of vegetable crops, sugar crops, tubers, and fibre plants.",Plant Biotechnology
"Transgenic Vegetable Plantation Crops, Ornamentals & Turf Grasses",T. W. Smith,Springer,,350,"Discusses genetic engineering techniques for plantation crops, ornamentals, and turf grasses.",Plant Biotechnology
Transgenic Vegetable Forest Tree Species,L. R. Green,Wiley,,350,Focuses on the genetic engineering of forest tree species for improved traits.,Plant Biotechnology
Cumulative Index,Various,Various,,Varies,An index summarizing the contents of a series of publications.,Reference
Pest Management in Field,A. J. Patel,CRC Press,,320,Focuses on strategies and techniques for managing pests in field crops.,Agriculture
Plant Stress Tolerance,K. D. Smith,Springer,,330,Examines mechanisms of plant stress tolerance and methods to enhance stress resistance.,Plant Physiology
Encyclopedia of Microbiology - 1,A. W. Goodwin,Academic Press,,800,Volume 1 of an extensive reference work covering various aspects of microbiology.,Microbiology
Encyclopedia of Microbiology - 2,A. W. Goodwin,Academic Press,,800,Volume 2 of the reference work on microbiology.,Microbiology
Encyclopedia of Microbiology - 3,A. W. Goodwin,Academic Press,,800,Volume 3 of the comprehensive microbiology encyclopedia.,Microbiology
Encyclopedia of Microbiology - 4,A. W. Goodwin,Academic Press,,800,"Volume 4 of the encyclopedia, covering additional microbiological topics.",Microbiology
Encyclopedia of Microbiology - 5,A. W. Goodwin,Academic Press,,800,Volume 5 of the extensive reference work on microbiology.,Microbiology
Encyclopedia of Microbiology - 6,A. W. Goodwin,Academic Press,,800,Volume 6 of the comprehensive microbiology encyclopedia.,Microbiology
Microbiology Vol-2,J. M. Martinko,Pearson,,600,Volume 2 of a comprehensive microbiology series focusing on specific topics and advanced concepts.,Microbiology
Advances in Microbial Biotechnology,S. R. Davis,Springer,,400,"Covers recent advances in microbial biotechnology, including industrial and environmental applications.",Biotechnology
Genetic Engineering: A New Hope for Crop Production & Improvement,A. P. Mitchell,CRC Press,,350,Discusses how genetic engineering can enhance crop production and improve agricultural practices.,Biotechnology
Methods in Microbiology - Vol II,J. H. Miller,Academic Press,,350,Volume II of a detailed guide on laboratory techniques and methods in microbiology.,Microbiology
Plant Genetic Engineering - Vol I,M. A. H. Smith,Springer,,350,"Covers the principles and applications of genetic engineering in plants, focusing on practical uses.",Plant Biotechnology
Elsevier's Dictionary of Botany,P. A. Williams,Elsevier,,500,A comprehensive dictionary covering terminology and concepts in botany.,Reference
Seabuck Thorn,R. T. Shroff,Wiley,,300,"Details the cultivation, properties, and applications of seabuckthorn.",Botany
वनस्पति विज्ञान कोश (Botany Encyclopedia),A. Sharma,Hindi Publication,,400,An encyclopedia covering various aspects of botany in Hindi.,Reference
Algae,A. C. Smith,Springer,,350,"An overview of algal biology, including classification, physiology, and applications.",Botany
Abiotic Stresses,M. D. Kumar,Wiley,,300,Examines how plants respond to abiotic stresses such as drought and salinity.,Plant Physiology
Seabuck Thorn: Modern Cultivation Technology,S. M. Patel,CRC Press,,300,Discusses modern techniques for cultivating seabuckthorn.,Botany
Origin of Plant Names,C. J. Rogers,Cambridge University Press,,250,Explores the etymology and origins of plant names.,Botany
Plant Cold Hardiness and Freezing Stress Vol-2,N. J. Robinson,Springer,,350,Focuses on mechanisms of plant cold hardiness and responses to freezing stress.,Plant Physiology
Evolution and Diversification of Land Plants,J. S. Moore,Cambridge University Press,,400,Details the evolutionary history and diversification of land plants.,Botany
Application of Plant Metabolic Engineering,L. H. Lewis,Wiley,,350,Covers methods and applications of metabolic engineering in plants.,Biotechnology
Plant Gene Research: Genes Invited in Microbe-Plant Interaction,H. B. Clark,Springer,,320,Discusses genes involved in interactions between plants and microbes.,Plant Biotechnology
Principles of Plant Health and Quarantine,J. A. Taylor,CRC Press,,300,Covers principles and practices for maintaining plant health and managing plant quarantine.,Plant Protection
Inherent Variation in Plant Growth,A. J. Peters,Springer,,320,Examines natural variations in plant growth and their implications for agriculture.,Plant Physiology
Antiviral Proteins in Higher Plants,R. E. Morrison,Springer,,350,Discusses antiviral proteins produced by plants and their potential applications.,Plant Biotechnology
Sea Buckthorn,S. B. Sharma,CRC Press,,300,"A comprehensive guide to the sea buckthorn plant, its uses, and cultivation methods.",Botany
"Development in Physiology, Biochemistry, and Molecular Biology of Plants Vol-1",G. K. Singh,Springer,,350,"Focuses on recent advancements in plant physiology, biochemistry, and molecular biology.",Plant Biology
"Development in Physiology, Biochemistry, and Molecular Biology of Plants Vol-2",G. K. Singh,Springer,,350,"Continues from Volume 1, covering further advancements in plant sciences.",Plant Biology
Plant Cell Biology,M. T. Roberts,Wiley,,300,"Provides an overview of plant cell structure, function, and processes.",Plant Biology
Plants Amino Acids,K. P. Williams,CRC Press,,320,Discusses the role and metabolism of amino acids in plants.,Plant Biochemistry
Encyclopedia of Applied Plant Sciences,R. M. Higgins,Elsevier,,800,"A comprehensive reference work covering applied plant sciences, including agricultural and industrial applications.",Botany
Botany: An Introduction to Plant Breeding,J. H. Davis,Cambridge University Press,,350,Introduction to plant breeding methods and their applications in botany.,Botany
Collecting Plant Genetic Diversity,A. L. Hernandez,Springer,,320,Focuses on methods and importance of collecting plant genetic diversity for conservation and research.,Plant Genetics
Handbook of Plant Physiology,R. E. J. Hill,Springer,,700,"Comprehensive guide to plant physiology, covering various physiological processes and mechanisms.",Plant Physiology
Synthetic Plant Growth Regulators,D. S. Allen,CRC Press,,350,Discusses synthetic growth regulators used to manipulate plant growth and development.,Plant Biochemistry
Ganoderma Diseases of Perennial Crops,N. K. Agarwal,Springer,,300,Covers the various diseases caused by Ganoderma in perennial crops and their management.,Plant Pathology
